Chief Executives,228270
General and Operations Managers,137640
Legislators,68580
Advertising and Promotions Managers,137630
Marketing Managers,167910
Sales Managers,134010
Public Relations and Fundraising Managers,141990
Administrative Services Managers,116820
Computer and Information Systems Managers,180250
Financial Managers,157480
Industrial Production Managers,123110
Purchasing Managers,141400
"Transportation, Storage, and Distribution Managers",107550
Compensation and Benefits Managers,150480
Human Resources Managers,142870
Training and Development Managers,132910
"Farmers, Ranchers, and Other Agricultural Managers",91670
Construction Managers,117770
"Education Administrators, Preschool and Childcare Center/Program",56650
"Education Administrators, Elementary and Secondary School",124500
"Education Administrators, Postsecondary",128090
"Education Administrators, All Other",93130
Architectural and Engineering Managers,175010
Food Service Managers,57920
Funeral Service Managers,86900
Gaming Managers,98150
Lodging Managers,72200
Medical and Health Services Managers,125770
Natural Sciences Managers,168790
Postmasters and Mail Superintendents,80620
"Property, Real Estate, and Community Association Managers",76510
Social and Community Service Managers,73640
Emergency Management Directors,118320
"Managers, All Other",143350
Business and Financial Operations Occupations,83310
"Agents and Business Managers of Artists, Performers, and Athletes",98200
Buyers and Purchasing Agents,71150
"Claims Adjusters, Examiners, and Investigators",71720
"Insurance Appraisers, Auto Damage",66100
Compliance Officers,82380
Cost Estimators,78190
Human Resources Specialists,75010
Farm Labor Contractors,56920
Labor Relations Specialists,80270
Logisticians,84260
Management Analysts,95310
"Meeting, Convention, and Event Planners",57960
Fundraisers,69940
"Compensation, Benefits, and Job Analysis Specialists",74560
Training and Development Specialists,73040
Market Research Analysts and Marketing Specialists,78090
"Business Operations Specialists, All Other",83470
Accountants and Auditors,84430
Appraisers and Assessors of Real Estate,84130
Budget Analysts,90780
Credit Analysts,89430
Financial Analysts,109640
Personal Financial Advisors,128730
Insurance Underwriters,88140
Financial Examiners,108740
Credit Counselors,53170
Loan Officers,78940
"Tax Examiners and Collectors, and Revenue Agents",66600
Tax Preparers,57040
"Financial Specialists, All Other",80720
Computer and Mathematical Occupations,108190
Computer and Information Research Scientists,136310
Computer Systems Analysts,103930
Information Security Analysts,110340
Computer Programmers,97470
"Software Developers, Applications",127950
"Software Developers, Systems Software",131700
Web Developers,86160
Database Administrators,100890
Network and Computer Systems Administrators,97810
Computer Network Architects,127500
Computer User Support Specialists,66350
Computer Network Support Specialists,75640
"Computer Occupations, All Other",103270
Actuaries,120680
Mathematicians,100000
Operations Research Analysts,95470
Statisticians,99860
Miscellaneous Mathematical Science Occupations,64030
Architecture and Engineering Occupations,100800
"Architects, Except Landscape and Naval",95060
Landscape Architects,89570
Cartographers and Photogrammetrists,84540
Surveyors,91010
